state,participation,total
Alabama,5.0,1165
Alaska,38.0,1080
Arizona,30.0,1116
Arkansas,3.0,1208
California,53.0,1055
Colorado,11.0,1201
Connecticut,100.0,1041
Delaware,100.0,996
District of Columbia,100.0,950
Florida,83.0,1017
Georgia,61.0,1050
Hawaii,55.0,1085
Idaho,93.0,1005
Illinois,9.0,1115
Indiana,63.0,1074
Iowa,2.0,1275
Kansas,4.0,1260
Kentucky,4.0,1247
Louisiana,4.0,1198
Maine,95.0,1012
Maryland,69.0,1060
Massachusetts,76.0,1107
Michigan,100.0,1005
Minnesota,3.0,1295
Mississippi,2.0,1242
Missouri,3.0,1271
Montana,10.0,1196
Nebraska,3.0,1253
Nevada,26.0,1116
New Hampshire,96.0,1052
New Jersey,70.0,1056
New Mexico,11.0,1138
New York,67.0,1052
North Carolina,49.0,1081
North Dakota,2.0,1256
Ohio,12.0,1149
Oklahoma,7.0,1047
Oregon,43.0,1108
Pennsylvania,65.0,1071
Rhode Island,71.0,1062
South Carolina,50.0,1064
South Dakota,3.0,1216
Tennessee,5.0,1228
Texas,62.0,1020
Utah,3.0,1238
Vermont,60.0,1114
Virginia,65.0,1102
Washington,64.0,1075
West Virginia,14.0,1086
Wisconsin,3.0,1291
Wyoming,3.0,1230
